0	Inf	Inf	Inf	Inf
210	420	1020	1350	1470
300	330	1080	1140	1350
360	570	870	1020	1050
480	690	750	900	930
660	690	720	930	990
600	630	810	1020	1320
480	750	960	1080	1170
630	900	930	960	1020
780	870	900	930	1050
750	810	840	960	1200
690	780	870	960	1080
690	780	900	960	1050
720	750	930	930	990
210	420	1020	1170	1350
0	Inf	Inf	Inf	Inf
120	510	870	1320	1440
150	840	1080	1230	1410
270	720	960	1110	1650
480	510	870	1200	1200
390	840	840	1050	1770
540	690	900	990	990
690	720	750	840	840
690	720	840	870	990
540	870	900	1020	1020
660	750	840	900	900
690	750	840	870	900
720	720	780	810	840
300	330	1080	1140	1350
120	510	870	1410	1440
0	Inf	Inf	Inf	Inf
270	660	720	1170	1200
390	600	780	1050	1530
360	630	1020	1170	1200
510	720	900	930	960
660	780	870	870	960
720	810	840	930	1200
570	840	960	960	990
660	900	900	1050	1110
780	780	780	990	1080
750	780	810	870	990
720	810	840	840	900
360	570	870	1020	1200
150	840	1080	1410	1410
270	660	720	1170	1290
0	Inf	Inf	Inf	Inf
120	870	990	1020	1170
360	630	930	930	930
240	870	900	990	990
390	720	750	840	1050
540	570	600	990	990
570	690	720	750	840
390	720	750	900	1170
510	600	690	780	1050
540	600	690	750	1020
570	570	630	660	720
480	690	750	900	930
270	720	960	1140	1170
390	600	1050	1080	1140
120	870	990	1020	1110
0	Inf	Inf	Inf	Inf
240	750	780	870	1410
120	900	990	1020	1110
270	750	840	870	960
420	600	690	720	1110
450	570	840	870	960
510	600	630	780	780
480	570	630	660	660
480	570	630	660	720
510	540	600	690	690
660	690	720	930	990
480	510	1050	1080	1200
360	630	1020	1170	1200
360	630	900	930	930
240	750	780	870	900
0	Inf	Inf	Inf	Inf
360	660	750	780	870
510	510	600	630	1020
360	450	480	660	930
210	600	630	810	1080
540	540	570	750	840
420	420	510	720	810
390	420	510	720	810
360	450	480	750	780
600	630	1230	1260	1320
390	840	1020	1050	1140
510	720	930	960	1020
240	870	900	990	1200
120	900	990	990	1110
360	660	750	1290	1320
0	Inf	Inf	Inf	Inf
150	870	960	990	1080
300	720	810	840	1230
450	570	960	990	1080
480	510	570	630	900
360	450	630	750	780
360	450	630	750	780
390	420	660	720	810
480	750	960	1080	1110
540	690	870	900	990
660	780	810	870	960
390	720	750	840	1050
270	750	840	840	960
510	510	600	1140	1170
150	870	960	960	1080
0	Inf	Inf	Inf	Inf
150	870	960	1410	1440
300	720	1110	1350	1380
330	360	420	780	1050
210	300	480	900	930
210	300	480	900	930
240	270	510	870	960
630	900	930	960	1020
690	720	750	810	840
720	810	810	840	870
540	570	600	660	720
420	600	690	690	720
360	450	480	660	930
300	720	810	810	840
150	870	960	960	990
0	Inf	Inf	Inf	Inf
150	660	690	870	1140
180	210	270	900	900
60	150	330	780	1020
60	150	330	750	1050
90	120	360	720	1020
780	870	900	930	1140
690	720	840	870	990
570	840	960	960	990
570	690	720	750	840
450	570	840	840	870
210	600	630	810	1080
450	570	960	990	1080
300	720	810	840	1230
150	660	690	870	1140
0	Inf	Inf	Inf	Inf
330	360	750	750	960
210	300	630	720	930
210	300	600	750	930
240	270	510	570	960
750	810	840	930	1080
540	870	900	1020	1020
660	900	900	900	930
390	720	750	840	900
510	600	630	720	780
540	540	540	570	750
480	510	600	630	900
330	360	450	780	1050
180	210	300	930	1110
330	360	450	750	750
0	Inf	Inf	Inf	Inf
120	240	270	990	1080
150	210	240	990	1080
180	180	330	1020	1050
690	780	870	990	1020
660	750	780	840	900
780	780	780	870	900
510	600	630	690	780
480	570	630	660	660
420	420	510	660	690
360	450	630	750	780
210	300	480	900	930
60	150	330	780	1020
210	300	480	630	720
120	240	270	960	990
0	Inf	Inf	Inf	Inf
90	120	270	1110	1260
60	150	300	780	1050
690	780	900	960	990
690	750	750	840	870
750	780	810	870	870
540	600	600	690	750
480	570	630	660	660
390	420	540	690	690
360	450	630	750	780
210	300	480	900	930
60	150	330	750	1050
210	300	480	600	750
150	210	240	960	990
90	120	270	1140	1320
0	Inf	Inf	Inf	Inf
30	180	330	780	1050
720	750	930	930	1020
720	720	780	810	840
720	810	840	840	840
570	570	630	660	720
510	540	600	690	690
360	450	480	750	750
390	420	690	720	810
240	270	540	870	960
90	120	390	720	1020
240	270	540	570	960
180	180	330	900	930
60	150	300	780	1050
30	180	330	780	1050
0	Inf	Inf	Inf	Inf
